patient_id,algorithm,mode,c,kappa,overshoot,steps,lr,success,clean_prob,adv_prob,confidence_drop,l2_norm,linf_norm,l0_norm
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,1.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,5.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,5.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,5.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,5.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,5.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,5.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,5.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,5.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,5.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,50.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,50.0,0.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,50.0,0.0,,1000,0.05,1.0,0.52099609375,0.499755859375,0.021240234375,67.1229105430107,1.4564994983939852,150528
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,50.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,50.0,1.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,full,50.0,1.0,,1000,0.05,1.0,0.52099609375,0.4814453125,0.03955078125,67.13968625374415,1.456499341330117,150528
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,lesion,50.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,cw,random_patch,50.0,10.0,,1000,0.05,0.0,0.52099609375,0.52099609375,0.0,0.0,0.0,0
